komentar_preprocessing,label,Nomor
hypnotic cyber hymn cruel story youth culture,positive,162
ice cube hold film together engaging warm performance,positive,163
boasting poorly staged lit action memory impostor close get imitation movie,negative,164
enjoyably dumb sweet intermittently hilarious taste quirky steal glimpse,positive,165
serious movie goer embarking upon journey find road perdition lead satisfying destination,positive,166
isolated moment creative insanity finally lost thin soup canned humor,negative,167
photographic marvel sort certainly invaluable record special fishy community,positive,168
road movie give emotional whiplash glad went along ride,positive,169
every time look sweet home alabama taking another bummer wrong turn,negative,170
read subtitle opera sung italian like masterpiece theatre type costume enjoy movie,positive,171
though catch badly made fun slowly leak movie,negative,172
conversation one thing intelligent flick examines many different idea happiness guilt intriguing bit storytelling,positive,173
shoot em ballistic oddly lifeless,negative,174
uncompromising nonjudgmental make clear prostitute lonely needy client,positive,175
follows basic plot trajectory nearly every schwarzenegger film someone cross arnie arnie blow thing,negative,176
often likable often meandering low energy eager quirky moment little old fashioned storytelling would come handy,negative,177
instance old dog learning inventing remarkable new trick,positive,178
th film series look feel tired,negative,179
grant go beyond usual fluttering stammering capture soul man pain gradually come recognize deal,positive,180
f one indie flick life chance already seen kind thing,negative,181
saccharine movie go likely cause massive cardiac arrest taken large dos,negative,182
benigni pinocchio extremely straight mind numbingly stilted episodic pacing keeping film developing storytelling flow,negative,183
film may hit hard better drug related picture still manages get punch,positive,184
dragonfly dwells crossing mumbo jumbo manipulative sentimentality sappy dialogue,negative,185
capture longing anguish ache confusing sexual message wish part elusive adult world,positive,186
bigger holiday downer end year k statement,negative,187
broomfield turn distinctive blundering style something could really help clear case,positive,188
rather le sum underventilated p fils confrontation,negative,189
horrible movie could sprung great one one year worst cinematic tragedy,negative,190
director jackson strike rewarding balance emotion human scale action effect spectacular scale,positive,191
thoughtful provocative insistently humanizing film,positive,192
meld derivative element something often quite rich exciting always beauty behold,positive,193
going motion zip gone,negative,194
bad maggio come better script,negative,195
movie enters realm non porn film venture come across darkly funny energetic surprisingly gentle,positive,196
long range appeal minority report transcend award bag one age,positive,197
chateau risky venture never quite go expect often surprise unexpected comedy,positive,198
minute film aaliyah get minute screen time viewer wish queen le damned,negative,199
kinnear give tremendous performance,positive,200
deep sixed compulsion catalog every bodily fluid gag something mary devise parallel clone gag,negative,201
triumph emotionally narratively complex filmmaking,positive,202
surprisingly powerful universal,positive,203
viewed term treasure planet better average family entertainment true fan stevenson novel likely prefer disney faithful live action swashbuckling classic,positive,204
manages transcend sex drug show tune plot something far richer,positive,205
fun part movie playing obvious game try guess order kid house gored,negative,206
seeing seinfeld home watch appearance letterman clinical eye reminds key stand always make look easy even though reality anything,positive,207
making melodrama filmmaker cut natural grain producing work interested asking question answering,positive,208
work artist control medium message improvise like jazzman,positive,209
play like high end john hughes comedy kind elder bueller time,positive,210
kept wishing watching documentary wartime navajo accomplished instead specious hollywood hoo ha,negative,211
think america would enough plucky british eccentric heart gold yet act still charming,positive,212
instead hitting audience head moral schrader relies subtle irony visual device convey point view,positive,213
although trying balance self referential humor normal ol slasher plot seemed like decent endeavor result fully satisfy either die hard jason fan take good joke,negative,214
deepa mehta provides accessible introduction well intelligent observation success bollywood western world,positive,215
oh extreme right extremely dumb extremely confusing extremely boring,negative,216
movie something impostor stretching padding material blur dead end distracting camera work,negative,217
new release cinema paradiso tale turned sweet bittersweet tear come final beautiful scene finally feel absolutely earned,positive,218
actress may worked back story woman portray convincingly viewer get enough background character involving individual rather type,negative,219
film quiet power,positive,220
direction george hickenlooper snap wiseacre crackle hard bitten cynicism,negative,221
grown tired going man gone several movie take heart best star trek movie long time,positive,222
story wrap back around kind elegant symmetry rare film today warned slow slog get,positive,223
film probably please people already fascinated behan leave everyone else yawning admiration,negative,224
calling movie brainless would paying compliment like entertainment troll,negative,225
nakata technique imply terror suggestion rather overuse special effect,positive,226
hailed clever exercise neo hitchcockianism clever satisfying picture accurately chabrolian,positive,227
even hastily amateurishly drawn animation cannot engage,negative,228
sinise character brain ordeal would five minute instead plot go way introduce obstacle stumble,negative,229
picture run mere minute glance head turner thoughtfully written beautifully read finally deeply humanizing,positive,230
witless pointless tasteless idiotic,negative,231
another stale kill number flick complete blade thin character terrible pun laden dialogue,negative,232
screenwriter pimental took farrelly brother comedy feminized rather poor imitation,negative,233
quaid anchor film effortless performance trademark grin perfect ballplayer,positive,234
raimi team done better bringing story spider man big screen,positive,235
film overall mood focus interesting constantly unfulfilling,negative,236
maintains interest end even leaf lingering animated thought,positive,237
way supernatural snore fest could give anyone case fright put sleep movie nightmare,negative,238
man elysian field cold bliss le work groan along thinking important comment life throw u beguiling curve,negative,239
watching rather like overlong visit large group relative relative swap one mundane story another begin wonder ever going depart,negative,240
audience saw one chuckling wrong time bad sign supposed collective heart attack,negative,241
high crime know mistake bad movie make determined make maybe nobility sort,positive,242
mothman prophecy best illustrating demon bedevilling modern masculine journey,positive,243
quality amusing becoming irritating,negative,244
wise powerful tale race culture forcefully told superb performance throughout,positive,245
touch generally light enough performance part credible,positive,246
english language version full honor miyazaki teeming often unsettling landscape conflicted complexity character,positive,247
entertains providing good lively company,positive,248
story suffers severe case oversimplification superficiality silliness,negative,249
series escapade demonstrating adage good goose also good gander occasionally amuses none amount much story,negative,250
cinema around capture chaos france one imago result would look like something like,positive,251
animated sequence well done perfectly constructed convey sense childhood imagination creating adventure angst,positive,252
barely get ground,negative,253
fact rookie nearly impeccable cinematic experience wonderful age triumph besides miracle akin story film portrays,positive,254
intriguing cinematic omnibus round robin occasionally interesting concept execution,positive,255
hey arnold visual wit little imagination elsewhere,negative,256
old adage woman unknowable get exhilarating new interpretation morvern callar,positive,257
affectionately goofy satire unafraid throw elbow necessary,positive,258
drawing irresistible languid romanticism byler reveals way sultry evening beer fueled afternoon sun inspire even retiring heart venture forth,positive,259
suspect interesting way dealing subject,negative,260
sort st century morality play latino hip hop beat second half movie really go downhill,negative,261
despite surface attraction conrad l hall cinematography likely nominated oscar next year something impressive yet lacking everything,negative,262
predictable outcome globetrotter general game juwanna mann even ludicrous expect guy dress genre personal low everyone involved,negative,263
movie overbearing top family depicts,negative,264
elegant sly deadpan comedy,positive,265
davis filled cast appealing fresh face,positive,266
anyway one reason another crush turn dire drama partway get stupid maudlin bad thanks lovely comedic moment several fine performance total loss,negative,267
pianist film roman polanski may born make,positive,268
laugh clever sight gag scattered enough make anything another big budget bust,negative,269
ensemble movie like soap opera depend empathy none problem,negative,270
got pretentious eye rolling moment entirely grab stuff like,positive,271
sport admirable energy full bodied characterization narrative urgency,positive,272
watching love player brings fore gifted nonsense human being still inestimable contribution made shared history,positive,273
nonbeliever may rethink attitude see joy character take creed skeptic likely enter theater,negative,274
peculiar misfire even tunney save,negative,275
gaunt silver haired leonine harris brings tragic dimension savage full bodied wit cunning aging sandeman,positive,276
howard co star give committed performance often undone howard self conscious attempt find literary filmmaking style match subject,negative,277
worth look curiosity,positive,278
want live waydowntown hilarious place visit,positive,279
subject like inspire reaction audience pianist,positive,280
director tom dey demonstrated knack mixing action idiosyncratic humor charming debut shanghai noon showtime uninspired send tv cop show cliche mostly leaf shooting blank,negative,281
carefully structured scream consciousness tortured unsettling unquestionably alive,positive,282
dangerous life altar boy take adolescence feel painfully true,positive,283
grating tedious,negative,284
sure word ever together sentence erotic cannibal movie boring,negative,285
big budget star movie unblinkingly pure hour distinct rarity event,positive,286
uno de los policiales interesantes de los ltimos tiempos,positive,287
subtle visceral film never succumbs trap maudlin tearful offering instead unflinching gaze measure faith future,positive,288
jackson always watchable,positive,289
common sense fly window along hail bullet none ever seem hit sascha,negative,290
richly imagined admirably mature work gifted director definitely something mind,positive,291
killed father one art house film make feel like watching iceberg melt never melt,negative,292
big crowdpleaser possibly come,positive,293
cast uniformly excellent film merely mildly charming,negative,294
howard good leon barlow hardly seems acting,positive,295
le dizzying dizzy jaunt practically begin,negative,296
wild surreal stuff brilliant camera kind sits let look like going one room next none relation,positive,297
boast enough funny dialogue sharp characterization mildly amusing,positive,298
labute fun character torturing psychologically talking genitals public,negative,299
break heart many time,positive,300
different others genre rely dumb gag anatomical humor character cliche primarily relies character tell story,positive,301
l ame unnecessary,negative,302
winning wildly fascinating work,positive,303
maryam small film offer large reward,positive,304
salaciously simplistic,negative,305
warning resist temptation film blunt challenging offer easy reward staying clean,positive,306
glazed tawdry b movie scum,negative,307
spy kid island lost dream however robert rodriguez adorns family film plot elegance maturity even contemporary adult movie lacking,positive,308
efteriades give neighborhood scenery vibe cinematic equivalent big tender hug,positive,309
lee achievement extends supple understanding role brown played american culture athlete movie star image black indomitability,positive,310
scene sensibility familiar exudes kind nostalgic spy movie charm time fresh free usual thriller nonsense seems happening first time,positive,311
solondz creates effective moment discomfort character viewer alike,positive,312
visual delight decent popcorn adventure long try look deep story,positive,313
may undeserving victim critical overkill since town country,positive,314
birthday girl try surprise u plot twist rather seems enjoy transparency,positive,315
returning aggressively formula dimwitted comedy even dimmer character sandler also executive produce made film make previous vehicle look smart sassy,negative,316
largely fan artifact,negative,317
whether enlightened derrida lecture self derrida undeniably fascinating playful fellow,positive,318
hit miss far comedy go big ole miss way story,negative,319
admire closing scene film seem ask whether civilization offer cure vincent complaint,positive,320
performance four main actress bring character life little melodramatic enough hope keep engaged,positive,321
rather brilliant little cult item pastiche child entertainment superhero comic japanese animation,positive,322
film may appear naked narrative form go deeper fundamental choice include complexity catholic doctrine,positive,323
fierce glaring unforgettable,positive,324
muddy psychological thriller rife miscalculation make say obvious abandon hope good movie ye enter,negative,325
collapse minute slap happy series adolescent violence,negative,326
entire movie boring sad man boring sad,negative,327
artful intelligent film stay within confines well established genre,positive,328
blessed gift film geek historian idea good time movie make happy,positive,329
broad cartoonish screenplay accuracy observation work director frank novak keep film grounded undeniable social realism,positive,330
sun drenched masterpiece part parlor game part psychological case study part droll social satire,positive,331
villeneuve spends much time wallowing bibi generic angst lot shot gazing window,negative,332
much movie charm lie utter cuteness stuart margolo computer animated face expressive,positive,333
noyce film shocking history lesson drama,positive,334
film way full stuffy pretentious give oscar kind way,negative,335
dogtown z boy expose root skateboarding boom would become punk kid revolution,positive,336
stealing harvard care cleverness wit kind intelligent humor,negative,337
soderbergh like kubrick may touch planet skin understands working spirit,positive,338
windtalker celebrates human spirit pack emotional wallop,positive,339
development challenge facing santa weigh plot heavily drain film energy needlessly strain credibility,negative,340
bouquet give performance masterly,positive,341
one influential work korean new wave,positive,342
beautifully crafted brutally honest promise offer unexpected window complexity middle east struggle humanity people,positive,343
rare beautiful film,positive,344
get comedy settle,negative,345
ending feel odds rest film,positive,346
wordy wisp comedy,negative,347
chris columbus sequel faster livelier good deal funnier original,positive,348
level acting elevates material pat inspirational status give sturdiness solidity long associated washington actor,positive,349
one heart,positive,350
worthy gong,negative,351
peppered witty dialogue inventive moment,positive,352
hard seduced witherspoon charisma even run mill vehicle girl know drive max,positive,353
soul lacking every character movie subsequently movie,negative,354
maybe leblanc thought hey movie baseball playing monkey worse,negative,355
director roger michell many little thing right difficult cuss severely bungling big stuff,negative,356
audacious impossible yet compelling,positive,357
movie infectious exuberance engage anyone passing interest skate surf culture l beach scene imaginative sometimes illegal way kid make playground refuse adult,positive,358
seagal appeared orange prison jumpsuit wanted stand theater shout hey kool aid,negative,359
concept hoot trailer riot movie dud,negative,360
get better foster leaf little room,negative,361
wendigo go cinema fed eye heart mind,positive,362
film destined win wide summer audience word mouth review far line find place among studio animated classic,positive,363
ring left cold wet like seattle drizzle without rainwear,negative,364
screen fantasy adventure recent memory showmanship clone last minute,positive,365
enjoyed movie superficial way never sure purpose,negative,366
mesmerizing eye opening tour modern beijing culture journey rebellion retreat oblivion return,positive,367
bad sign rooting film hurry get subject death documentary indicative uncompelling movie unless happens cover particular area interest,negative,368
remarkable achival film shanghai place served jew escaped holocaust,positive,369
quite comedy film tackle relatively serious subject open mind considerable good cheer never le engaging,positive,370
blame men war warden daughter tell father movie deep sentiment,negative,371
film misfire every level biggest downside paucity laughter supposed comedy,negative,372
m fulford wierzbicki almost spooky sulky calculating lolita turn,positive,373
one go unindicted probably best nearly moved tear couple scene got ice water vein,positive,374
resurrection dubious distinction really bad imitation really bad blair witch project,negative,375
power team fashioned comedy laugh many question time mold gold,positive,376
frailty offer chill much like get sitting around campfire around midnight telling creepy story give willies way talking film exit theater,positive,377
undoubtedly scariest movie ever made tattoo,positive,378
credibility sink mire sentiment,negative,379
hilarious acidic brit comedy,positive,380
weird ought,negative,381
moment hilarity,positive,382
immersing u endlessly inventive fiercely competitive world hip hop dj project sensational revelatory even scratching make itch,positive,383
bad writer director adam rifkin situates plot musty one golden eagle carpet,negative,384
film undone anachronistic quick edits occasional jarring glimpse modern theater audience watching event unfold,negative,385
film predictable reassuring manner beautifully sung holiday carol,positive,386
good material story retail clerk wanting life movie often spin wheel familiar situation repetitive scene,negative,387
anemic chronicle money grubbing new yorkers serial loveless hook ups,negative,388
devastatingly powerful astonishingly vivid holocaust drama,positive,389
tired unimaginative derivative variation already shallow genre,negative,390
heat moment prevails cook conduct low smoky inviting sizzle,positive,391
cq may one day fondly remembered roman coppola brief pretentious period going film actually tell story worth caring,negative,392
part film cheeky charm come vintage schmaltz,positive,393
big fat liar little home alone raised new self deprecating level,negative,394
strong confident work work well first minute end horrendously confusing final two,positive,395
sluggishly directed episodic tv veteran joe zwick sitcom without snap crackle,negative,396
matter much arrogant richard pryor wannabe routine offensive puerile unimaginatively foul mouthed least funny,negative,397
take rocket scientist figure mormon family movie sappy preachy one,negative,398
film nearly terminal case cutis neither funny charming think,negative,399
princess sorvino glide gracefully male persona female without missing beat ben kingsley truly funny playing kind ghandi gone bad,positive,400
bon app tit like splendid meal red dragon satisfies ripe recipe inspiring ingredient certified cuisine palatable presentation,positive,401
undisputed worst boxing movie ever certainly champion big loser audience,negative,402
intense effective film loneliness chilly anonymity environment many u spend much time,positive,403
film go unusual sci fi character study chase flick detracts ending,negative,404
spielberg realization near future america masterful make minority report necessary viewing sci fi fan film best special effect ever,positive,405
reinforces talent screenwriter charlie kaufman creator adaptation john malkovich,positive,406
porn film without sex scene,negative,407
enjoy rewarded script assumes bright blood work,negative,408
boy sparring like succession blow dumped guei wear story cerebral likable plot element,negative,409
hideous confusing spectacle one may well put nail coffin future rice adaptation,negative,410
opening contrived banter cliche loose end screenplay come second half,positive,411
imagine life harry potter martial art adventure told lobotomized woody allen idea fate lie store moviegoer lured mediocrity kung pow enter fist,negative,412
charming witty also somewhat clumsy,positive,413
story drift inexorably cliche tortured torturing artist consuming impossible love help become disappointed overwrought new sequence plod,negative,414
potentially good comic premise excellent cast terribly wasted,negative,415
benign forgettable sci fi diversion,negative,416
whether jason x bad purpose never clear one thing sure never come close either funny scary,negative,417
awkwardly contrived exercise magic realism,negative,418
one depressing movie going experience think sit minute called comedy laugh,negative,419
film inform educate yes move care happened armenia ararat went astray,negative,420
enjoyably fast moving hard hitting documentary,positive,421
new face interesting old story especially start seem improvised scripted,negative,422
pretension disposable story sink movie diesel actor save,negative,423
hour half joyful solo performance,positive,424
nick steinberg match creation pure venality giving old college try,negative,425
rude profane ever always hilarious time absolutely right stinging social observation,positive,426
whole mess boil transparently hypocritical work feel though trying set woman liberation movement back year,negative,427
result memorable least interesting,positive,428
fast moving remarkable film appears destined become landmark japanese animation,positive,429
dramatically shaky contest will reiterates old hollywood saw evil interesting good boring,negative,430
madonna properly called acting accurately moving talking occasionally gesturing sometimes,negative,431
smart sassy interpretation oscar wilde play,positive,432
scott convincing portrayal roger sad cad really give film oomph,positive,433
le study madness love study schoolgirl obsession,negative,434
manages hugely entertaining uplifting,positive,435
series message making right choice face tempting alternative remains prominent girl amusing personality,positive,436
like trapped perpetual frat party something gross boring,negative,437
well acted well intentioned nothing however film come perilously close bleak pessimistic unflinching good,positive,438
three actress simply dazzling particularly balk finally given part worthy considerable talent,positive,439
hard look one man occupational angst subsequent reinvention terrifying study bourgeois desperation worthy claude chabrol,positive,440
acceptable way pas little hour moviegoer age unlikely inspire anything visit mcdonald let alone savvy street activism,negative,441
asks nothing audience sit back enjoy couple great actor hamming,positive,442
without strong script energetic acting dogma film produce sleep inducing effect watching neighbor home video,negative,443
crush car throw window electrocute dismember victim full consciousness avert eye moment,positive,444
think american pie valium,negative,445
sade engaging look controversial eponymous fiercely atheistic hero,positive,446
part better whole bizarre funny tragic like love new york,negative,447
although bright well acted thought provoking tuck everlasting suffers laconic pace lack traditional action,negative,448
emotional pulse solaris emotional sterility match outer space setting soderbergh spectacular swing fence yield spectacular whiff,negative,449
every dance becomes seduction backstabbing betrayal celebrated sex currency,positive,450
execution clever idea far le funny original killer space,negative,451
nothing waking reno ever inspired think inhabitant anything marker screenplay,negative,452
seldahl barbara precise moving portrait someone whose world turned upside first passion illness,positive,453
picture scored perversely cheerful marcus miller accordion harmonica banjo abomination monument bad florid variety,negative,454
goldmember funny enough justify embarrassment bringing barf bag moviehouse,positive,455
like kissing jessica stein amy orgasm key strength willingness explore principal character honesty insight humor,positive,456
unsettling memorable cinematic experience predecessor proud,positive,457
three woman deliver remarkable performance,positive,458
acting alone worth price admission,positive,459
much farcical sour,negative,460
film seems dead weight lack pace kill although movie cancer might apt,negative,461
unencouraging threefold expansion former mtv series accompanying stunt hungry dimwit random series collected gag prank pratfall dare injury etc,negative,462
bit early career director barry sonnenfeld homage lousy one,negative,463
first time writer director serry show remarkable gift storytelling moving effective little film,positive,464
jump cut fast editing lot pyrotechnic yu clearly hope camouflage bad movie fails,negative,465
difficult get beyond overall blandness american chai despite likable performance refreshingly naive point view,negative,466
journalistically dubious inept often lethally dull,negative,467
wallace seems le like burning tell war story itching somehow tack one together,negative,468
corny schmaltzy predictable still manages kind heartwarming nonetheless perfect kind film see want use brain,positive,469
entertaining mix period drama flat farce please history fan,positive,470
super trooper academy standard quintet writer could still use schooling,negative,471
lie big fat liar real charmer,positive,472
spark new inspiration done noticeably le energy imagination,negative,473
bore tends hammer home every one point,negative,474
lawrence bounce stage dancing running sweating mopping face generally displaying wacky talent brought fame first place,positive,475
anyone age stomach touchy feely message preachy produce promotes beyond u,negative,476
expect director michael apted enigma screenwriter nicholas kazan reversal fortune cliche pileup,negative,477
shed light subject familiar make care music may heard,positive,478
help feel wasted potential slapstick comedy,negative,479
